City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Max Temp,Wind Speed,Cloudiness
Chui,3443061,UY,-33.6971,-53.4616,284.38,96,284.38,1.4,86
New Norfolk,2155415,AU,-42.7826,147.0587,280.81,70,281.87,0.45,76
Sioux Lookout,6148373,CA,50.1001,-91.917,294.8,60,294.8,4.99,1
Manthani,1263610,IN,18.65,79.6667,296.89,97,296.89,3.14,100
Codrington,2171099,AU,-38.2667,141.9667,284.01,84,284.01,2.68,100
Yellowknife,6185377,CA,62.456,-114.3525,280.03,84,280.03,1.33,37
Saint-Augustin,6137462,CA,51.226,-58.6502,288.92,88,288.92,4.5,99
Vila,7117100,PT,42.0304,-8.1588,289.64,45,290.55,3.14,15
West Wendover,5710035,US,40.7391,-114.0733,296.71,27,296.71,1.54,1
Hermanus,3366880,ZA,-34.4187,19.2345,290.82,74,290.82,8.38,49
Hasaki,2112802,JP,35.7333,140.8333,298.37,91,298.37,6.29,70
Puerto Ayora,3652764,EC,-0.7393,-90.3518,294.01,87,294.01,0.45,84
Mataura,6201424,NZ,-46.1927,168.8643,277.86,99,277.86,1.56,100
Ushuaia,3833367,AR,-54.8,-68.3,274.96,87,274.96,9.26,75
Bluff,2206939,NZ,-46.6,168.3333,278.04,73,278.04,4.49,96
Bengkulu,1649150,ID,-3.8004,102.2655,301.25,72,301.25,2.13,30
Zeya,2012593,RU,53.75,127.2667,295.59,68,295.59,1.53,67
Touros,3386213,BR,-5.1989,-35.4608,296.65,80,296.65,7.49,64
Vao,2137773,NC,-22.6667,167.4833,293.98,68,293.98,5.89,50
Luangwa,909887,ZM,-15.6167,30.4167,297.61,49,297.61,3.29,95
Yambio,363656,SS,4.5721,28.3955,304.54,46,304.54,2.07,12
Bethel,5282297,US,41.3712,-73.414,291.97,91,294.77,0.0,90
Punta Arenas,3874787,CL,-53.15,-70.9167,278.21,87,278.21,6.17,90
Poum,2138555,NC,-20.2333,164.0167,295.35,76,295.35,7.02,98
Airai,1651810,TL,-8.9266,125.4092,289.18,79,289.18,1.72,77
Upernavik,3418910,GL,72.7868,-56.1549,279.08,94,279.08,1.64,100
Vaini,4032243,TO,-21.2,-175.2,294.24,94,294.24,3.09,75
Ostrovnoy,556268,RU,68.0531,39.5131,284.98,65,284.98,4.66,100
Mabaruma,3377301,GY,8.2,-59.7833,295.21,100,295.21,1.03,99
Graaff-Reinet,1000543,ZA,-32.2522,24.5308,298.66,28,298.66,8.16,93
Matara,1235846,LK,5.9485,80.5353,301.52,69,301.52,6.13,76
Olafsvik,3414079,IS,64.8945,-23.7142,285.36,94,285.36,6.01,100
Bredasdorp,1015776,ZA,-34.5322,20.0403,290.53,65,290.53,6.36,83
Maham,1264455,IN,28.9833,76.3,312.92,26,312.92,3.69,0
Atikokan,5888001,CA,48.7555,-91.6216,292.12,64,292.12,4.08,0
Albany,5106841,US,42.6001,-73.9662,290.71,89,292.76,0.44,100
Pisco,3932145,PE,-13.7,-76.2167,288.72,83,288.72,0.28,96
Busselton,2075265,AU,-33.65,115.3333,289.54,86,289.54,3.79,1
